Sl.No.,District _Name,Taluk_Name,Village_Name,Name_of_Monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TUMAKURU,TURUVEKERE,TANDAGA,SHANKARESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,TUMAKURU,TURUVEKERE,TANDAGA,CHENNIGARAYA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TUMAKURU,TURUVEKERE,TANDAGA,GANGADHARESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,TUMAKURU,TURUVEKERE,TANDAGA,SHANKARESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,TUMAKURU,CHIKNAYAKANHALLI,KANDIGERE,SHANTHINATHA BASADI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SHIMOGA,BHADRAVATI,BHADRAVATI,LAKSHMINARASIMHA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SHIMOGA,HOSANAGARA,SALAGERI,UMAPATHI TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SHIMOGA,HOSANAGARA,HOSANAGARA BOBLI ,BADANURU SHIVAPPANAYAKA AND FAMILYS SAMADIGALU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SHIMOGA,SHIKARPUR, CHICKMAGADI,JAIN BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SHIMOGA,SHIKARPUR,NARASAPUR,BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
